reviewId,app_name,score,lang,install_tier,star_band,content_clean,gold_label,annotator,notes,is_overlap
58f8943a-9ae6-498e-81f3-b22f0019d303,Athan: Prayer Times & Al Quran,1,ar,10M-100M,1-2,البرنامج لا يعمل بصورة صحيخة فيه بعض الأغلاط,,,,True
77d23030-e3ef-465b-8f81-83f62b21109e,صلاتك Salatuk (Prayer time),2,ar,10M-100M,1-2,بعد التحديث الاخير أصبح سيئا للغاية,,,,True
f99041d8-61ac-4279-9086-dd66450752a4,صلاتك Salatuk (Prayer time),1,ar,10M-100M,1-2,يوجد مشاكل به أصبح منذو فترة لا يآذن,,,,True
3ab0a9b7-b843-4ba8-a4e0-c76c6c3ea172,"Muslim: Prayer, Qibla Finder",1,ar,10M-100M,1-2,كل ضغطة زر إعلان كل ثانية إعلان,,,,True
3b28052e-93f4-4cdc-83b1-dcab17d96a3b,صلاتك Salatuk (Prayer time),1,ar,10M-100M,1-2,لايعمل بطريقه صحيحة وبيعلق ولا يؤذن علي اسوس سيلفي,,,,True
e58b68e1-50b7-4267-a06f-e4fe0ff37dec,Athan: Prayer Times & Al Quran,1,ar,10M-100M,1-2,لا يسوى شيء وهل يوجد برامج إسلامية بالمال,,,,True
df6e326b-3b26-41e3-8dbd-4bb3210910ec,صلاتك Salatuk (Prayer time),1,ar,10M-100M,1-2,التطبيق ممتاز ولاكن قمة بازالته بسبب الزام سماح صلاحية الموقع. السؤال لماذا؟؟,,,,True
6935751f-9c13-470a-b8b6-e0d16b02310b,صلاتك Salatuk (Prayer time),1,ar,10M-100M,1-2,حاجه واحدة اريدها ان تسمحوا لي ان اخفي الاشعار الذي يظهر في الاشعارات من مؤقت للصلاه,,,,True
6a73709a-b81e-46ec-82bb-3e11cff48bd9,صلاتك Salatuk (Prayer time),2,ar,10M-100M,1-2,كل شوية يفصل ويعطل الحاجة اللي بعملها يطلعلي زي المسمار عاوز عربي ولا انجليزي ويحدد الموقع بسلامته والويبجيت كل شوية تعلق سنين عالمال دهومابيتحسنش,,,,True
19735d1f-6be1-4014-9ac9-abf9c7063880,صلاتك Salatuk (Prayer time),1,ar,10M-100M,1-2,السلام عليكم، أنا مستخدم لهاتف Huawei P30 Lite. عند تشغيل تطبيق صلاتك، يتوقف عند شاشة اختيار اللغة ولا تظهر أي خيارات، مما يمنعني من استخدام التطبيق. قمت بتحديث التطبيق ومسح بياناته وإعادة تثبيته دون جدوى. أرجو منكم المساعدة في حل المشكلة. جزاكم الله خيراً.,,,,True
685b9f66-d2fb-496f-9d0d-804d6bc0eb10,صلاتك Salatuk (Prayer time),2,ar,10M-100M,1-2,التطبيق كان بصيغته القديمة احسن,,,,True
ee970817-b1a8-4a11-aa7e-38786daa3199,صلاتك Salatuk (Prayer time),1,ar,10M-100M,1-2,برنامج معقد وشاشاته غير سهله وغير منظمة فعلا لابد من ازالته والبحث عن برنامج اسهل من هذا,,,,True
fe61f905-7775-4d56-a544-d68e9a355d94,Athan: Prayer Times & Al Quran,1,ar,10M-100M,1-2,لا نجوم بعد اليوم برنامج مليء بالإشعارات أكثر إلتزامكم بالإشعارات من التنبيه بمواقيت الصلاة ثم لماذا السوأل هل صليت ؟ هل صليت الصلاة لله أم للتطبيق (app ) أعطيتكم نجمة فقط بسبب سياسة google,,,,True
b212cd37-299b-4628-80cc-88bfefd79132,صلاتك Salatuk (Prayer time),1,ar,10M-100M,1-2,برجاء الهتمام بصوت الذان و الشعرات من اخر تحديت و الاشعارات مش مظبوطه,,,,True
93401f67-f34a-4f9e-91c0-1be258860dfd,صلاتك Salatuk (Prayer time),1,ar,10M-100M,1-2,في مشكلة بالتحديث الاخير لانو دايما ع توقيت مكه مهما اعدل بالموقع برجع لمكه وانا سكان عمان,,,,True
92825b16-2fc7-4686-b12b-fa5239e286d2,صلاتك Salatuk (Prayer time),1,ar,10M-100M,1-2,من بعد آخر تحديث والتطبيق لا يعمل بشكل صحيح... أرجو إلغاء التحديث الأخير. app keeps crashing and not notification for adhan. please resolve the issue.,,,,True
62ed5d8a-a448-4456-bcf1-cf491966d0a5,صلاتك Salatuk (Prayer time),1,ar,10M-100M,1-2,التحديث الأخير سئ جدا وشكله غير مقبول الأصدار القديم افضل حزفت البرنامج,,,,True
5729aa06-5fb7-47ed-bd1e-c600cfe2b056,صلاتك Salatuk (Prayer time),1,ar,10M-100M,1-2,سىء جدا جدا جدا و لا يؤذن رغم ضبط كل شىء و ظهور علامة المنبه بشريط التنبيهات .. oppo f9 ازداد سوءا و تعقيدا بعد التعديلات الاخيرة,,,,True
db3556a3-57a2-4ee5-bfe1-26c19cb65734,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,Unable to log prayer. It says can't create an account now...,,,,True
11cdafbb-ba3b-431c-abcf-b98462212541,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,Azan are not sound sometimes it's missing azans,,,,True
92050380-3a43-4586-8268-3bea3b15a452,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,Its a very useful app but the ads are not cool and keep popping up every time especially ads that are not Islamic. Would have give 5 but the ads,,,,True
1a12c8e3-f25f-4a6d-b0ea-53d9e0105da7,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,I've been using this app for abt a yr now and it has been very useful for me but recently whenever I go to log my prayers the app crashes and exits it. Pls fix this or tell me how I can fix it.,,,,True
0fac3400-5dab-4492-b081-aae0e7400c9e,Salaat First: Prayer Times,3,en,10M-100M,3,"It was working fine, then Adhan wasn't playing anymore, I just get notifications in prayer time. I uninstalled it and installed it again but it is still not working , it is unfortunate because I really like how the application is easy to use, I really like the remembrence figures in it, I hope they can fix the adhan problem.",,,,True
55671012-eb18-4e7d-943b-9001282f63d4,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,"Following are some suggestions for the dev team: 1) If the area of daily goals adds the feature of letting the users edit/add any goal of their choosing. 2) The ability to upload Surah's, Duas and other religious data by taking a picture through the app to add them in the users daily goals 3) To have the ability to reorder any supplications, Surah's, Tasbeeh's according to the requirements of the user's need & situations in the application then it would be a great addition to this awesome app",,,,True
13e09508-4542-45be-8047-49b6753fd9d4,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,The app is very much useful... After installing the app got kots of bugs.. Always location changes to MAKKAH...widget problem.... Plz fo fix all errors....,,,,True
e7d88e1c-4e5a-4289-8b2e-2e28b23e439f,صلاتك Salatuk (Prayer time),3,en,10M-100M,3,"something wrong with huawei mate 10 wedget, it doesn't update prayers times!!",,,,True
336b8073-6819-43ab-9be1-329a687d97f2,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,There are some mistakes in the translation I pointed out 3 mistakes till now the whole translation is wrong,,,,True
c5a54975-4c38-4667-9aff-23b0aad8fe20,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,All are super and I useful but Adan is not working with out network,,,,True
89f715e4-c450-4842-91c4-3ea878b4628c,صلاتك Salatuk (Prayer time),3,en,10M-100M,3,"nice application for its purpose, convenient and accurate for any location worldwide. just need to have more Azans from other Sheikhs like Menshaey and Abdul Bassett.",,,,True
249178d9-51a7-46e8-9d38-854df610bdbf,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,azan stopped after last update ?!! plus filter the ads as we get unexpected ads totally in offended way,,,,True
2a70595d-79e7-4242-adea-156ecc177c41,صلاتك Salatuk (Prayer time),3,en,10M-100M,3,"The problem i face is during the ring of azan, the music player opens and it remains in the lock screen. Please fix the bug.",,,,True
d07cff01-247b-4f71-b54c-b8c786816ba4,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,Compass doesn't properly show qibla direction. There is no way to change juristic method of prayer time calculation.,,,,True
83e83dc1-4cdd-4e39-8040-c9b611f9f91f,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,Great app... But the widget is actually 4x1. But it unncssary takes space of 4x2,,,,True
431c596c-97e2-4857-a201-bd45bbb25621,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,"I subscribe to the pro version of this app, after that the prayer calls starts without any reason on not on time like the free version, and I had to cancel my subscription",,,,True
046ecc37-0f0c-43ec-942e-0e8ec8e67e94,صلاتك Salatuk (Prayer time),3,en,10M-100M,3,This is important in all muslim..in Shaa Allah..,,,,True
6e48c6ec-7634-45e3-89f0-fd0ac92b42f4,صلاتك Salatuk (Prayer time),3,en,10M-100M,3,Please fix the apps because it displays incorrect praying time on my location (Indonesia).,,,,True
4526ed35-40be-40fa-87f1-bc8fbc5534cd,صلاتك Salatuk (Prayer time),3,en,10M-100M,3,"It does not notify me about prayer at all,it does not even vibrate",,,,True
7a113ea5-9d64-4d4d-9d6e-74648926c5e4,Athan: Prayer Times & Al Quran,3,en,10M-100M,3,its great but u should add the complet islamic calendar other than Gregorian becose we already have Gregorian calendar on the screen everyone on every phone. i only see important dates of islamic calender not the complete calender,,,,True
eca5bc74-dd74-45f8-bd65-df67228fa44e,Salaat First: Prayer Times,3,ar,10M-100M,3,أظن أنه يجب إضافة الركعات,,,,True
56c6aecf-81c1-478f-8ff4-868116af14f6,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,جزاكم الله خير الجزاء وجعل عملكم خالصا لوجه وجعل في ميزان حسناتكم يوم لا ينفع مال ولا بنون . صراحة إنه تطبق جيد جدا وأرجوا من الأخوة أن يقوموا دائما بتطويره حتى يكون صالحا لكن زمان ومكان. وشكرا لكم فقد أفدتم وأجزتم,,,,True
4843c70f-03e4-48f8-af9b-3eb70a27da5d,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,يا حبذا لو تم ادخال التوقيت الصلاة لجميع دول العالم,,,,True
453b352c-314f-43f6-af19-d862ad0b4340,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,التحديثات الاخيرة جدا مزعجه، النوتفيكشن مستمر في كل وقت وليس في اوقات الصلاة. الرجاء تعديله وارجاعه كالسابق.,,,,True
ec193a91-d2af-48e9-b459-0606be6669a3,Salaat First: Prayer Times,3,ar,10M-100M,3,التطبيق في العادة جيد جدا و أشكر جهودكم و تفانيكم ، لكن بعد اخر تحديث و هو اليوم ، لم يعد التوقيت الهجري صحيحا ، فاليوم هو عاشوراء اليوم العاشر من شهر محرم المقابل ليوم 5 يوليو ، لكن في التطبيق يكتب ان اليوم هو التاسع من شهر محرم و هذا خطأ ، أرجو منكم اصلاح هذا الخطأ الفادح! التطبيق لم يعد يعمل بشكل جيد ، لم يعد التطبيق يضع التنبيهات للصلوات بالأذان,,,,True
3a9e5f26-54fb-4227-88fb-73d7ca83851e,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,التطبيق يحتاج لتحديث ضروري جدا للأندرويد هواوي. تحياتي,,,,True
3316bbca-3d5a-4383-b09f-3252ca4a2d70,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,البرنامج كان جيد جداً .. ولكنه الآن يعطيني توقيت غير منطقي .. ارجو منكم ايضاح السبب,,,,True
97f6b86b-ccb3-44d6-8245-22172fbf8d7b,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,",لا يعمل علي اصدار 6 مرشملوه",,,,True
888e3626-ca4d-4b36-8fae-a5abd388c72b,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,توقيق صلاة المغرب في جدة غير صحيح,,,,True
a47b4518-124a-4196-8b25-8185adaaf085,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,الاذان للمغرب والعشاء غير صحيح,,,,True
fd046b8e-5629-44f5-892d-f89f7b090344,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,٠٠٠ ٠ ح٠ ٩٠زحط٠٩0 89990 i ح٠، ٠ . 0٠ ٠ ط,,,,True
a3b3abad-f372-4dfa-9a38-5faeb17f9da0,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,هو كويس بس مافيه بس اوقات صلاة و بوصلة لا اكثر اتمنى لو تضيفو اذكار و القرآن و أدعية اذا ممكن و شكراً,,,,True
d51fc196-947b-440d-be08-a83d6e5bd747,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,بدأ التطبيق منتظما فى أوقات الأذان ثم صار يغفل الأذان فى بعض الصلوات بالتبادل فمثلا فى يوم يفوت أذان الفجر وفى آخر يفوت أذان الظهر وهكذا لا يفوت يوم دون أن يفوت أذانا واحدا على الأقل,,,,True
181af7f3-dfab-417d-9200-403a307c5344,Salaat First: Prayer Times,3,ar,10M-100M,3,ليس هناك فقره لصلاة الجمعه منفرده و الوضع الصامت لصلاة العشاء قصير لوجود التراويح,,,,True
4f5268fe-9928-4be1-a4c0-66ff2aad2b96,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,التشكيل الجديد لم يعجبني 7/8/2020,,,,True
db2c3385-1c6b-4433-a791-26d77cb097c2,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,تليفونى لينوفو s90للاسف اتجاه القبله لايعمل ابداااا,,,,True
114ae994-2501-49bc-8098-a923624b46db,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,انا بحب البرنامج دة جدا بس مش عارفة بقي بيحدد الموقع في مكة وانا في مصر! مواعيد الصلاة غير صحيحة,,,,True
2a32eb52-8ab4-40e6-aebe-db8bf73b0f63,صلاتك Salatuk (Prayer time),3,ar,10M-100M,3,كان ممتاز بأتجاه القبله ودقيق جدآ، لكن بعد التحديثات الاخيره، لم تعد القبله تعمل بالشكل الصحيح، صارت تلخبط!!! صلحوها جزاكم الله كل خير :-),,,,True
02df2a91-4416-4e8d-aebf-af5e9709a4a3,Salaat First: Prayer Times,3,ar,10M-100M,3,التطبيق لا يحدث التاريخ حسب المنطقة,,,,True
d1550001-b742-4bbc-b141-1a5734a06e15,Athan: Prayer Times & Al Quran,3,id,10M-100M,3,Waktu solat Kuala Lumpur tidak tepat seperti waktu solat dari Jakim,,,,True
e1262beb-4ce8-43c4-9c9e-07d701ebb7bb,صلاتك Salatuk (Prayer time),5,en,10M-100M,4-5,this app make me happy,,,,True
4d9e9da2-3d71-42c5-9aad-1f6fd3db09c9,صلاتك Salatuk (Prayer time),5,en,10M-100M,4-5,This is an amazing app. Always helps me about prayers timings. Direction of Qiblah etc.,,,,True
1cefeb8f-c5a9-45a6-84d5-0b3c0e4ee549,صلاتك Salatuk (Prayer time),5,en,10M-100M,4-5,"Amazing work , Masha Allah",,,,True
f177d595-e7bd-4a80-b635-8b3c01a8d182,صلاتك Salatuk (Prayer time),5,en,10M-100M,4-5,Friendly interface. I like when prayer time change automatically while traveling,,,,True
04bc98fb-6a3b-426b-a8b7-58684f1b51c7,Athan: Prayer Times & Al Quran,5,en,10M-100M,4-5,it has become part of my life in fulfiliing my religious obligations,,,,True
289ae82a-87a1-4439-a56a-33b443ce9866,صلاتك Salatuk (Prayer time),5,en,10M-100M,4-5,"All praises are do to Allah to such a great app, and thanks to the people who made this available to Muslims. May Allah bless them all.",,,,True
1350a848-20cd-4353-a8f8-5e2b4cccc323,Athan: Prayer Times & Al Quran,5,en,10M-100M,4-5,"It is simple , beautiful and accurate .",,,,True
a18a8f18-d029-4e08-a675-d61dbdb515f5,Athan: Prayer Times & Al Quran,5,en,10M-100M,4-5,Gets the job done in a time of such chaos,,,,True
bcdd55f7-8d15-4062-a1ac-372676b07499,صلاتك Salatuk (Prayer time),5,en,10M-100M,4-5,Absulttly accurate app. happy to use this unique type of app. Thanks.,,,,True
f491f677-b058-477e-b7fa-4d6fe35c5db6,Athan: Prayer Times & Al Quran,5,en,10M-100M,4-5,"Works perfectly, love the daily duas and the tracker that keeps ypur place when reading the Quran so you can easily recors your khatems.",,,,True
ea930364-e943-4c9d-9afe-c3ff20f115a0,Athan: Prayer Times & Al Quran,5,en,10M-100M,4-5,Has really help me alot,,,,True
1bc9f677-0efb-43e7-a1e9-13086a2dbd2a,Athan: Prayer Times & Al Quran,5,en,10M-100M,4-5,great way to know and helps you keep track of things,,,,True
07054760-4603-4d09-b7f1-7d881b05b112,Athan: Prayer Times & Al Quran,5,en,10M-100M,4-5,I love it is thé best it tell me the time i have to pray i love u allah,,,,True
80a2659d-8097-4700-a2dd-bc61e6d9e597,Athan: Prayer Times & Al Quran,5,en,10M-100M,4-5,The best Athan experience you can ONLINE,,,,True
a3511185-b8c4-479e-8107-10336c9d9bb8,Athan: Prayer Times & Al Quran,5,en,10M-100M,4-5,Awesome App...but the appearance of ad very frequently while reciting Quran or reading any dua distorts the concentration,,,,True
77b14898-8c6d-4013-970c-d189f5fa4587,صلاتك Salatuk (Prayer time),5,en,10M-100M,4-5,this is a very religious and good app,,,,True
d6307c2e-7072-43b8-9425-91a16222f44d,Athan: Prayer Times & Al Quran,5,en,10M-100M,4-5,this is really very very good application.,,,,True
9f1893d1-63c4-4a48-a59e-5d76d3a2e1d1,صلاتك Salatuk (Prayer time),5,en,10M-100M,4-5,Useful app Allah bless you all,,,,True
56713ca0-8a47-40a1-a442-16b3b237cd97,صلاتك Salatuk (Prayer time),4,en,10M-100M,4-5,it is very good and important applications..,,,,True
a61345ce-b5a6-4d49-9078-a95346bbe199,Athan: Prayer Times & Al Quran,5,en,10M-100M,4-5,Great app i like it,,,,True
4f4bdc16-59b4-409c-b769-b282e4c9ec6d,صلاتك Salatuk (Prayer time),5,bn,10M-100M,4-5,আমার সব চেয়ে গুরুত্বপূর্ণ এপ হচ্ছে এটি।++,,,,False
58f9e5ca-e716-4b20-a9a9-147e02cb4ca8,صلاتك Salatuk (Prayer time),5,ar,10M-100M,4-5,ممتاز وجزاه الله سبحانه خير,,,,False
5f8c7506-caac-48b4-a7fc-19450cce4934,صلاتك Salatuk (Prayer time),5,arz,10M-100M,4-5,عجبني . استايل حلو و فيه اكتر من إذان للتنبيه ..,,,,False
5b6d40a9-1bbf-48f2-8c80-3bad61433af2,Salaat First: Prayer Times,5,ar,10M-100M,4-5,برنامج جميل جدا جدا جدا,,,,False
d07f1765-b5c9-4ab5-b28c-c7f39c481836,Athan: Prayer Times & Al Quran,5,ar,10M-100M,4-5,Amazing app جزاك الله خير,,,,False
d31a4094-8d6e-4775-97cb-95d5275ac379,صلاتك Salatuk (Prayer time),5,ar,10M-100M,4-5,ياريت لو تضيفو دعاء نعاية الاذان,,,,False
2d298789-c519-4d78-b361-773415330e99,صلاتك Salatuk (Prayer time),5,ar,10M-100M,4-5,جميل ورائع وسهل جدا شكرا,,,,False
48de2b28-01d9-40d3-abe2-4a0cbb01b37a,صلاتك Salatuk (Prayer time),5,ar,10M-100M,4-5,جزاكم الله خيرا برنامج اكثر من رائع,,,,False
fdefb978-b359-46c7-83af-92a3567e8647,صلاتك Salatuk (Prayer time),5,de,10M-100M,4-5,Ein Dankeschön reicht kaum aus Jazak Allah Khayran,,,,False
b0873885-3a6d-4d99-ad4f-11d1670e0900,صلاتك Salatuk (Prayer time),5,ar,10M-100M,4-5,البرنامج ممتاز بل ورائع وحتى في هامش التوقيت بين أذان بلدتك وبين الأذان الموقوت في البرنامج بسيط للغاية ولا يكاد يذكر .. أهم شيء ان تعلم ان وقت الصلاة المكتوبة قد حان أوانه لتفزع الى صلاتك إن لم يتيسر لك سماع داعي الله من مسجد قريب في حلك او ترحالك .. وبالتالي فهذا التطبيق مفيد جدا للمسافر والمقيم في أي مكان على وجه الأرض.,,,,False
b9771fe5-62d3-4c67-b051-bdb355bfeb1a,صلاتك Salatuk (Prayer time),5,ar,10M-100M,4-5,بارك الله فيكم وجزاكم الله خير الجزاء,,,,False
01394496-3308-4d38-b374-af1dc0552a8e,صلاتك Salatuk (Prayer time),5,ar,10M-100M,4-5,تطبيق رائع ودقيق الله بجميع الخير الشخص اللي برمجه ونشره,,,,False
0be163d1-9cdd-44ec-a156-732d47fb6a54,"Sajda: Prayer Times, Quran",5,ar,10M-100M,4-5,جزاكم الله خيرا على هذا التطبيق الجميل وعلى أسماء الله الحسنى. من فضلكم وضع أرقام أوقات الصلاة باللغة العربية عند اختيار اللغة. السلام عليكم ورحمة الله.,,,,False
b477f9ed-46d9-43b1-a3c2-aabeadbf852c,صلاتك Salatuk (Prayer time),5,ar,10M-100M,4-5,تطبيق شامل لكل ما يحتاجه المسلم من معلومات وتنبيهات الصلاه واتجاه القبلة في مكان وجوده ونداء الاذن بصوت جميل,,,,False
1a39b1a3-106f-403b-be53-83783d081491,صلاتك Salatuk (Prayer time),5,ar,10M-100M,4-5,تطبيق رائع ويقوم بمهمته علي اكمل وجه,,,,False
82d618c6-4830-4ddc-b393-f807a1f4276f,صلاتك Salatuk (Prayer time),5,ar,10M-100M,4-5,Great and accurate app جعله الله في ميزان حسناتكم,,,,False
8b02c9f1-5bd4-4d6a-a4e7-4d32d998f562,صلاتك Salatuk (Prayer time),5,ar,10M-100M,4-5,تطبيق رائع جدا وخصوصا لهواتف شاومى,,,,False
149cd624-23f1-4aa7-8678-627287fac5c0,صلاتك Salatuk (Prayer time),5,ar,10M-100M,4-5,التطبيق فيه مميزات حلوة فعلا و بجد مفيش غلطة و ممكن يكون سبب في الانتظام في الصلاة و المهم انك تصلي علي النبي,,,,False
fa069b9e-ce74-449c-b807-d49615272ef1,Athan: Prayer Times & Al Quran,5,ar,10M-100M,4-5,اكثر من رائع شكرا لكل القائمين على إنجاح هذا البرنامج,,,,False
77f1c592-ebae-4295-a844-683cc0a785da,صلاتك Salatuk (Prayer time),4,ar,10M-100M,4-5,تطبيق ممتاز بارك الله بجهودكم ووفقكم لخدمة الاسلام والمسلمين ...,,,,False
2f83300c-599d-4644-9c8c-ce3b45c805c9,Prayer Times - Qibla & Namaz,2,en,1M-10M,1-2,"Aoa, This application shows that it will be in English i was very happy that now my kids learn and understand how perform slat (namaz)but when I downloaded it sallat process in urdu but which need to be improve and convert it in English as it will mention . Thanks",,,,False
ea47226e-afc1-4991-a6d8-c5b246bed35b,iPray: Prayer Times & Qibla,2,en,1M-10M,1-2,Forces permissions and can't procees if you do not allow. Uninstalled!,,,,False
035e9e5d-e9a2-4fe7-9bf4-8a0392dd8b7a,Prayer Times - Qibla & Namaz,1,en,1M-10M,1-2,There are alot of mistakes in Quran text. Please correct or remove this option.,,,,False
a6526695-99d2-453b-9f16-569e89cc9534,Prayer Times - Qibla & Namaz,1,en,1M-10M,1-2,App open nhi ho Rahi jab se update hui he koi solution batain na plzzz,,,,False
435d18ea-8911-4ad2-be28-90c822ca47ea,Prayer Times - Qibla & Namaz,1,en,1M-10M,1-2,Mashallah bhout achi app hai,,,,False
21a7e0dd-042f-410e-85f5-50c94007f9d1,Islamic Habit Tracker,2,en,1M-10M,1-2,Too much adds it's very annoying you can't focus on using the app and do istighfar and quran but the app is very good,,,,False
d355cc40-2261-4455-b513-400cb9e19e00,Prayer Times - Qibla & Namaz,1,en,1M-10M,1-2,You spoiled it. No Adhan sound,,,,False
e1895fe0-c757-4a3f-90fa-1023cf7df4b7,Muslim Bangla Quran Hadith Dua,1,en,1M-10M,1-2,Alhamdulillah ami onak kico jante perci ey.apps ta use kore Alhamdulillah,,,,False
bc95a5c1-83c5-4587-9cdf-f9adba1735c1,iMuslim: Prayer Times & Quran,1,en,1M-10M,1-2,"Alhamdulillah,,,so much useful app it is.",,,,False
619fb4c8-d6a4-4716-a4dc-112794ae7412,Prayer Times - Qibla & Namaz,1,en,1M-10M,1-2,updated version of 2 march 2026 is force closing after choosing location. Everytime i opened the app it crashes in this update. older version is working smoothly. fix this version please...,,,,False
d572ac99-925c-42e2-a586-a1da88d64d3b,Prayer Times - Qibla & Namaz,1,en,1M-10M,1-2,ISLAMI MONTH Ki Date Sahi krein jesy Aj 1st Ramadan hei is application Main 30 Shaban Bata rehy hein,,,,False
