reviewId,app_name,score,at,content_clean,theme_code,theme
c0ab0e8d-6101-4a2e-aa2c-15edb1c11b16,"Muslims Day-Prayer, Quran, Dua",5,2020-11-30 12:25:03,"Nice app, Automatic Location Tracker doesn’t work properly.",Location detection fails,E. Prompting failures break the loop
380dd6a8-0929-4861-9a8a-ddb4b0ee4312,Niya: Muslim prayer tracker,1,2026-05-19 23:16:01,"I really like this app, but for some reason, out of nowhere, it won't let me log in anymore. Not even register. I uninstalled and reinstalled. Still won't let me log in or even register with a new account. Please fix this soon, I really love your app.",Login failure blocks access,"G. The record is gated, not owned"
8ddc3c92-cc10-43fd-b016-c4c956106dd7,Niya: Muslim prayer tracker,2,2026-04-21 06:11:39,"great app overall except for the new feature where u have to get premium to access previous prayer logs. bro?? all that data and everything is just gone now, months of missed prayers that i now have no idea how many i have to make up. i get trying to promote the premium plan but it couldve been implemented elsewhere or at least given a warning before locking away MY data randomly. not tuff bye deleting this",Past logs locked behind paywall,"G. The record is gated, not owned"
83be37e5-56ad-41d5-89e0-cdd124eaa98a,Pillars: Prayer Times & Qibla,3,2024-10-16 22:33:47,Nice looking app but the 'tracker' feature never loads,Tracker never loads,C. The record can't be trusted
118b26b0-c02e-4692-8456-4f130de1cf0e,Pray Watch,1,2026-06-09 00:09:56,the adhan is not working unless I open the app without logging out of it till prayer time,Adhan requires app kept open,E. Prompting failures break the loop
3038b3e9-2e2d-491d-ad9b-9bfda41d7809,Prayer Times - Qibla & Namaz,5,2023-01-03 19:49:08,"Masha Allah this a spelendid app. With prayer timings, qaza namaz, qibla direction, and quran boht text and audio, translation of the quran in Kanz ul eman in both english and urdu. Just one bug. In the 4th parah(Juz) As soon as Surah A'al e Imran ends there is surah maryam instead of Surah An Nisa. Kindly look into it",Quran text ordering error,Excluded (out of scope)
86ac6b41-ca74-471a-ae1e-5d0e5716ae7a,Prayer Times - Qibla & Namaz,5,2023-02-20 21:12:51,"Salam, Please make the hijri calender auto adjusted. It's difficult to maintain the track of days adjustment from different sources manually. If the month is of 29 or 30 days, it should auto-adjust the 1st of next month.",Hijri calendar needs manual adjustment,E. Prompting failures break the loop
fd713eac-3837-45cc-b0da-11d8d153d120,Prayer Times - Qibla & Salah,1,2025-01-06 13:20:40,"Unstable notification system, I missed few prayers due to this, uninstalled now.",Notification failure,E. Prompting failures break the loop
7c2d77a1-9fe4-4ede-8678-bdf4695830bc,Prayer Times and Qibla,1,2022-04-11 06:47:44,It does t automatically update based on location. I missed prayer times because it was different timing when I travel.,Location detection fails,E. Prompting failures break the loop
ab7f683d-106f-4dce-b7e9-da335435b862,Prayer Times and Qibla,2,2025-01-05 16:36:16,"Good app, I dont like that the app doesn't give me option to turn off Auto-Silent! I missed many calls because of this! The app give me three options ( Vibration - do not disturb - silent). How out turning this feature off!!",Auto-silent cannot be disabled,H. App overreaches into the device
9e0e656d-26d8-4bb4-af02-f212f9f16470,"Sadiq: Prayer, Quran, Qibla",5,2025-10-25 06:00:40,Fajr notifications often missed. Please fix.,Notification failure,E. Prompting failures break the loop
49a7546b-d5e9-42ec-843d-e927cab9a8dd,"Sajda: Prayer Times, Quran",4,2017-11-18 06:08:42,"The time for dhur salah for UK London is incorrect, its set at 23:51 instead of 11:51. So other prayer reminders i.e. asr, maghrib and isha get missed because the dhur alarm wont go off until 23:51. Other than that great app",Wrong prayer time,E. Prompting failures break the loop
ad6a2194-8a75-46ef-9c3a-52b172b0bda5,"Sajda: Prayer Times, Quran",2,2025-06-13 00:32:11,"This app is quite good and has the potential to get better. However, it does far too much tracking and is not worth it. It MUST treat users with due respect and NOT try to monetize their data.",Data monetization objection,F. Monetization against religious purpose
b9470eae-1561-4218-81fa-34b6aedcb534,Salaat First: Prayer Times,1,2022-01-05 07:07:58,since last update I missed my prayers due to azan not working,Adhan broken since update,E. Prompting failures break the loop
0107df1e-8406-40ca-b7e1-15d68dd3586d,"Wemu: WeMuslim, Athan&Qibla",5,2024-09-26 20:18:18,ha kasa ha AP log,Unintelligible text,Excluded (non-complaint)
4d7383c3-4f83-4ced-ada7-1ba956a193a0,iMuslim: Prayer Times & Quran,3,2021-12-16 21:36:31,The location tracker of the app doesn't work. please solve the problem as soon as possible.,Location detection fails,E. Prompting failures break the loop
49ad5de9-057c-49d2-9ee0-36de1faf4cc3,iPray: Prayer Times & Qibla,4,2020-04-23 11:52:24,It's a great app but some time missed the Azan. Please fix the issue,Adhan playback unreliable,E. Prompting failures break the loop
82789600-e6ec-4a5d-b9c8-18b12cd81905,iQIBLA Life,2,2026-04-03 20:16:03,never doesn't let me log in and never connects,Login failure blocks access,"G. The record is gated, not owned"
a4662968-0185-4cf1-bcc1-3d819d0a7cbc,iQIBLA Life,1,2024-05-01 07:32:21,The app could be more aesthetically pleasing. A lot of unnecessary advertisements. The device doesn't record the zikr done accurately on the app. It doesn't sync as frequently. What's the point of having a smart counter when it doesn't do the job it was created for; to record historical zikr counts accurately.,Companion device miscounts zikr,C. The record can't be trusted
5c6cf9b1-216b-466a-8705-1e41192bcbfb,صلاتك Salatuk (Prayer time),5,2014-05-28 01:23:10,"The only issue I have for this app is the guilt trip u feel wen u miss ur salah cos it ALWAYS sends out 2 reminders. The first 15mins before ur salah (this can be adjusted accordingly) and the 2nd, wen its the actual time. Its a brill app, easy to understand & wiv all the survival extras that a muslim needs. The only addition required that I can think of is a sunset time for ramadan....unless it already has it and iv missed it.",Reminders induce guilt,D. Normative mismatch
