topic_id,size,auto_name,top_words,rq_tags,representative_doc_1,representative_doc_2,manual_label
14,813,14_easy_easy easy_easy helpful_simple,"easy, easy easy, easy helpful, simple, helpful easy, easy useful, simple easy, useful easy, helpful, easy simple",RQ5,"It is simple to use, and all the other tools are great, especially the ""Did you know"" Great for the whole family","Easy to use, all the fitur are great, hope the application always have more improvement.",Praise for simplicity and ease
15,800,15_duas_section_add_learn,"duas, section, add, learn, daily, du, update, learn duas, new, daily duas",RQ6,This is a great app.this is very important for us.its very good and use full profile with knowledge and skills . I recommend this application and I understand this application and skills I learn dua and I read its Ahadees . ..................................... ... .. ......................... .....,"appreciate the convenience & its many features.the duas should be updated to include more & really will benefit if they came with the rewards of each dua.I have searching 4 a free offline app that includes daily wazifas like dua e jameela,dua e noor , haikals etc to recite in the mornings.thanks 4 t",Request to add more Duas
16,755,16_notification_notifications_working_fix,"notification, notifications, working, fix, doesn, stop, android, work, phone, bar",,"i'm uninstalling it, the notifications keep coming too many times even when there's no salat due or after it's already been notified. and they can't even be dismissed! even opening the app only sometimes closes them. maybe i'll try it again in a month or two if the notifications are fixed. so disapp",This was my previous review ((This app is not working properly... though I have updated the app but still I'm getting the notifications more than one hour late.... Please do something about it....)) I've done everything possible delet the app and reinstall it again all the settings and still... just,Notification delivery and dismissal glitches
17,698,17_compass_compass working_direction_working,"compass, compass working, direction, working, work, compass doesn, direction compass, compass compass, doesn, phone",RQ2,"Jazakum Allahu khayran for making this app. I'm sure you're being inundated with feature requests, but I have to add one more. I liked the ability to see the active/live compass with the map in the background, as well as the static version you have now. I know how to get to the map, but the compass ",Ok I have been using this for many years but this year I wanted to use the alarms and I set it for 1 hour befor fajr and I put the bird noise as the alarm but when time does come It just sends me a text also the kibla finder is another problem as I used it in my house and it showed me the wrong dire,Inaccurate Qibla compass pointer
18,688,18_accurate_accurate accurate_accurate easy_easy accurate,"accurate, accurate accurate, accurate easy, easy accurate, easy, useful accurate, accuracy, accurate helpful, helpful accurate, accurate useful",RQ2,I am using it for years now and it is wonderfully accurate. It's extremely helpful. It developed through the years and each upgrade makes it easier and better. It has many options .Its developers are keeping on adding more and more useful and up to date options. I recommend it for everyone. I am tha,Using it since many years. Always has been the most accurate and reliable. I very much adore the new modern minimal design. You just need to update the logo as well.,Praise for prayer timing accuracy
19,683,19_adzan_adzan notification_notification_sound,"adzan, adzan notification, notification, sound, adzan sound, notification adzan, fix, adzan adzan, aazan, hear adzan",,"Salam, Here are the reasons why I give it 1 start. 1) I cannot purchase the premium version as the loading screen is not passing me to it. 2) A lot of errors found. Please give an exclamation button to every ayah I am reading so if I found new errors, I will notify you by it. Example: Your Surat Al ","Thank you for making a fairly comprehensive application for Muslims. I liked it from the first time used it on my old device. Unfortunately since i changed the device, firstly nothing problems, but after several uses (?) i've never received notif of Adzan (certainly i've set my device to allow the n",Adhan sound notification playback failure
20,600,20_silent_notification_sound_mode,"silent, notification, sound, mode, silent mode, alarms, phone, vibration, doesn, option",,Yea it's good I like it. I just wanna ask if the alarm goes past powering off the phone because sometimes I'm in school so I don't want that to happen. I have also noticed when people rate the app they accidentally put 1 's when they say the app is really good. 5 's is best | 2 that one person who a,"It worked flawlessly until I noticed the really weird bug. On my shortcuts. It would replace my alarm clock which I did not want to happen and it would automatically go back and do that even if I change it. Also, it would turn down the sound for the alarm clock which is an actual necessity for when ",Query about notification sound and alarm
21,590,21_ishraq_add_iftar_sehri,"ishraq, add, iftar, sehri, zawal, chasht, tahajjud, timings, ishraq chasht, timing",RQ6,"1. Adding another observation regarding ""علاماتِ وقف "". I had observe that complete are not givin in Sirat ul Janan, please. 2. Please also add or adjust timiming for both Nawaafel i.e اشراق and چاشت on main page. It would b v helpful..,,...... Thanks. Pls also add zawal & sunrise timings alongwith ","Nothing to say ,just awesome. But, I have a request add tahajjud solat last time or Sahryr last time. Please please please please please please please please please please please please please please please please please please please please please please please please please please please please pl",Requests for voluntary prayer times
22,529,22_program_software_program program_software software,"program, software, program program, software software, program software, software program, useful software, program useful, useful program, programme",,Beautiful software effective .I am using this software since i am using andriod mobile and this software is what is called part of the life now .. Dr muhammad tahir gujranwala .,"I bear witness to God, an excellent program I bought 2 programs for 1 24 dollars and this program without an excellent amount of money God bless you",Praise for good software program
23,483,23_work_job_job work_work work,"work, job, job work, work work, work job, excellent work, doing, excellent, job job, job excellent",,The best in its field to the best of my knowledge. Good work. Keep it up. Truely I.love it.,Thnx for every one ho is behind this work good job my brothers and sesters good luck,Praising good work building the app
24,475,24_qalbox_premium_subscription_lifetime,"qalbox, premium, subscription, lifetime, ads, qualbox, want, don, paid, separate",RQ2|RQ6,"I have been using a pro user since 2013, qalbox. What kind of nonsense keeps popping up & annoying a lot? What is the point of buying the app? Still, I have to c ads? A suggestion for ur new premium qalbox take more money, those who buy the app, ask or give them options if they want to use or see th","WHAT KIND OF SCAM ARE YOU DOING? by adding another level of premium and putting different features under the (qalbox app) that you merge with (Muslim pro app) as an excuse to your ads, not this only also you lock the (azan time) on widget from time to time to force people open the app and watch ads,",Complaints about Qalbox subscription upsells
25,473,25_adds_adds adds_add_remove adds,"adds, adds adds, add, remove adds, remove, adds annoying, adds disturbing, annoying, disturbing, adds add",RQ6,Too many adds. Need to pay to remove it. Too expensive. Sorry. It doesn't worth it to pay for such amounts for. Overall contains is good,"Too many adds ,and another thing it doesn't show time for jumma ,on Fridays. Should be reviewed and please too many adds make no sense.",Complaint about ads
26,471,26_tasbih_tasbeeh_counter_count,"tasbih, tasbeeh, counter, count, add, add tasbih, counting, tasbih counter, tasbi, custom",RQ6,After using the iqibla application and products for more than a year and recording more than one million Tasbiha I have concluded the following: 1. The idea itself is more than awesome and useful 2. The reminder option for prayers and Theker is very useful 3. But I'm experiencing a huge loss in data,"Tasbih should be easy. The new update is really bad destroyed the whole tasbih experience. The new font is ugly and a step back from the previous one. The whole new timeout function with the clock is so inconvenient as one has to click several times to get past the clock, just so impractical for a c",Tasbeeh counter inconvenience
27,469,27_perform_reminder_sallah_salaah,"perform, reminder, sallah, salaah, helps, reminds, helpful, sala, remind, miss",,"Assalamualaikum, please,correct your point under,Benefits Of Salah. You said""Think Of Salah as a break to centralize your thoughts"". Sorry, but we must centralize our hearts and minds BEFORE SALAH, in order to perform the best Salah. It's not a break,from work but a means To Visit Our Almighty Lord ",i did salah wirhout this because there is no motivation u can do salah without needing to tick it how will thus help u there is nothing to motivate you all you do is tick it just do salah without it how does this help,Salah guide and reminders complaint
28,459,28_need_need need_needed_place,"need, need need, needed, place, want, need place, needed need, need needed, exactly, perfect need",RQ6,This offil web do do do to fish do mt grow rodeos Torrie Giro to do so well a9m 30a drops for Fukushima 1200worldwide toy Be 18th doona so a0 so a0 do ra to 6xabo 9 rose 77777777 torn from jeep a0 dee0 unis a0 2nd a05m Woodridge Florida 6 Y T,It has everything you need to stay connected to your rubb. But you still got to utilize it in way to fully benefits the purpose. Keep up the good work.,MIXED - unusable
29,412,29_features_features features_features easy_useful features,"features, features features, features easy, useful features, easy, easy features, design, features useful, lot features, layout",RQ2|RQ5,"Despite a couple of less useful features, the overall package is fantastic. Look at the list of features. If that's what you want, it's what you will get.",Lots and lots of features to explore. Sent the free 14 days pass to my family chat! Can post on Ummah social media like back in the day on Tumblr. Cool!,Praise for many features and design
30,380,30_ring_zikr_zikr ring_zikir,"ring, zikr, zikr ring, zikir, connect, connect ring, bluetooth, device, connected, count",RQ5,I am a big fan of the ring but this app has so many bugs it makes using it harder. I routinely lose all my progress when I sync the ring to my phone and since theres no way to manually input a number I can't really keep track accurately because of this. Also it would be nice if at the end of every d,"Update: Thanks for the update. This doesnt resolve the problem though. The ring is a counter, it should count up every time the button is hit. It should have completely eyes-off operation. Plz count up with every tap. You can't really use it the ring as a counter, as it sleeps in 10 seconds and then",Companion app issues and bugs
31,366,31_reminder_reminders_reminding_reminder reminder,"reminder, reminders, reminding, reminder reminder, remind, daily, daily reminders, busy, reminder busy, remember",,"In fact if there is any other adjective which I can use greater than excellent I will have do that. Your scheduled , reminder and many other program designed is wonderful. Keep it up and we are expecting more. JAZAKUNMULAHU KHAIR.","Its efficient, user friendly and easy to refer to ... A great company to have with gentle and kind reminders. May the All Mighty reward the sincere inputs and efforts of those involved.",Praise for the reminder
32,350,32_dark_dark mode_mode_theme,"dark, dark mode, mode, theme, add dark, night, color, change, night mode, background",RQ6,I used to love this app but I don't anymore because they took away my ability to change to a dark background and having sensitivity to light I cannot read anything with the white background which gives me headaches and I can no longer use this app to do my morning azkar. I reached out to support and,I like the apps very much except the dark mode as it is not perfectly dark to save power. So I promise to give 5 star if.. 1. Dark mode is made Absolutly dark ( Amoled dark). 2. Show all downloaded fills/audios with a option to save audios/files in External Memory. Waiting for reply from developers.,Freedom for dark mode UI requested
33,325,33_far_seen_seen far_think,"far, seen, seen far, think, far seen, category, kind, simply, world, kind think",,"It's the number one among others, zero issues so far, the best absolutely",I think it is the best because it will show us when it's Athen time.,Praise as best app available
34,316,34_sign_login_log_account,"sign, login, log, account, email, facebook, password, logging, says, try",,i used To like this app then ad started to Appear on every second time i open any zikr i was like ITS FINE. But then without login i loved how it made me complete my goals Without any trouble...then later it said i need to log in to make goals and then i tried to log in.. to prevent scams i read som,"I love this app very, very much. BUT DARN IT, I CAN'T LOG IN TO IT. I made an account with an email address (as opposed to signing in with Facebook or Google+), and every time I put my login details and hit 'enter', a loading logo appears for a second, and then a thin grey filter appears on the app,",Account login and authentication issues
35,312,35_interface_ui_user_user interface,"interface, ui, user, user interface, easy, interface easy, clean, friendly, clean interface, simple",RQ2|RQ5,"Educative, Easy to use yet the UI display was easy to understand, every feature has a smooth response, within many types of information for each feature, it's very clear and useful. Thanks","Seems like a really good one; clean interface, multiple options, i like it so far. I will have to use it in detail to give a proper review though.",smooth and clean ui
36,306,36_ap_aps_apk_ap ap,"ap, aps, apk, ap ap, aps aps, apl, apo, aps apk, ap helpful, aps useful",,"liked it, professionalism showed in every corner of this apk. developers are really good enough and had very clear information what ppl want and they did that as likely as ppl demands. loved that app. dear team maintain the team and grow as much as u want.","The aps looks good, that encourages me to pay for the premium and all settings were dully observed but still never play the Aza'an on my Gionee M5,kindly look into the issue and resolve,if achieve is 5* rating W'salam",Team and app praiseworthy
37,290,37_solat_solah_know solat_reminds solat,"solat, solah, know solat, reminds solat, accurate solat, solat solat, solat accurate, remind solat, reminds, accurate",RQ2,1)The solat timing is very difficult to read as the text's color blend with the background. You need to increase your phone's brightness in order to read it. 2) they did not have 1 month timings which is good as sometimes unable to log in. Ending up with no timings. 3) the previous apps' presentatio,This app is so useful and it helps me through Ramadhan. The zikir feature is absolutely amazing. Thank you creators for coming out with an amazing platform in helping me in my ibadah. I was only looking for a solah app without too many ads but found a gem instead.,Salah timing display readability issues
38,288,38_stars_star_deserve_stars star,"stars, star, deserve, stars star, deserves, rate, rating, star star, rated, deserve stars",,"Let the five stars talk by themselves, if i could i can give more than 5 stars And please could you solve the picture resolution because it blurred whenever i tried to share the inspiration picture etc, thankyou.",𝖳𝗁𝗂𝗌 𝗂𝗌 𝖺 𝗀𝗈𝗈𝖽 𝖺𝗉𝗉. 𝖬𝗒 𝗉𝗋𝖺𝗒𝖾𝗋𝗌 𝗂𝗌 𝗈𝗇 𝗍𝗂𝗆𝖾. 𝖻𝗎𝗍 𝗍𝗁𝖾𝗂𝗋 𝗂𝗌 𝖺 𝗆𝗂𝗌𝗍𝖺𝗄𝖾. 𝗍𝗁𝖾 𝗍𝗂𝗆𝖾 𝗂𝗇 𝗍𝗁𝗂𝗌 𝖺𝗉𝗉 𝖿𝗈𝗋 𝗉𝗋𝖺𝗒𝗂𝗇𝗀 𝗂𝗌 𝗐𝗋𝗈𝗇𝗀. 𝖺𝗇𝖽 𝖺𝗅𝗅 𝗍𝗁𝗂𝗇𝗀𝗌 𝖺𝗋𝖾 𝗀𝗈𝗈𝖽 . 𝗂 𝗋𝖺𝗍𝖾 𝗍𝗁𝗂𝗌 𝖺𝗉𝗉 5/5 𝗒𝗈𝗎 𝗍𝗋𝗒 𝗍𝗁𝗂𝗌 𝖺𝗉p because it have not money .,Good review and star rating
39,287,39_sunrise_sunset_sun_add sunrise,"sunrise, sunset, sun, add sunrise, add, widget, sunrise sunset, sunrise widget, rise, sun rise",RQ5|RQ6,I have been using this app for a long time and am a yearly Paid Subscriber. However I am EXTREMELY disappointed that you have removed the Sunrise time from your Widget. It was THE ONLY REASON I paid/pay for this App otherwise there are many better ones in the Store. This made you different. And one,Shameless Ads. I get that these apps have to make money some how but to put an unskippable ad (for about 5 seconds) for almost every button in the app with no reset timer is disrespectful to your users. By the time I close the ad I forget where I wanted to go. Plus they already sharing our precise l,Removal of sunrise time widget
